Study,Model_Type,Antibody,MSE,MSE_Median_5AB,MSE_IQR_5AB
SDY797,local,GAD65,0.1672434481800676,0.1678394554970771,0.06899471256051129
SDY797,local,IA2IC,0.1678394554970771,0.1678394554970771,0.06899471256051129
SDY797,local,MIAA,0.23623816074057888,0.1678394554970771,0.06899471256051129
SDY797,local,ICA,0.2990276467485402,0.1678394554970771,0.06899471256051129
SDY797,local,ZNT8,0.09795169654876976,0.1678394554970771,0.06899471256051129
SDY797,federated,GAD65,0.5649403842372991,0.5002879662815469,0.11304900384114797
SDY797,federated,IA2IC,0.5171793932721102,0.5002879662815469,0.11304900384114797
SDY797,federated,MIAA,0.5002879662815469,0.5002879662815469,0.11304900384114797
SDY797,federated,ICA,0.4041303894309622,0.5002879662815469,0.11304900384114797
SDY797,federated,ZNT8,0.40268535709927816,0.5002879662815469,0.11304900384114797
SDY797,retrained,GAD65,0.13791485060349246,0.16607513753742562,0.06355598335385312
SDY797,retrained,IA2IC,0.1367737345002314,0.16607513753742562,0.06355598335385312
SDY797,retrained,MIAA,0.20147083395734558,0.16607513753742562,0.06355598335385312
SDY797,retrained,ICA,0.23156966744648969,0.16607513753742562,0.06355598335385312
SDY797,retrained,ZNT8,0.16607513753742562,0.16607513753742562,0.06355598335385312
SDY1737,local,GAD65,0.1371500094056769,0.03173379364736667,0.11358595529358133
SDY1737,local,IA2IC,0.19681253969020898,0.03173379364736667,0.11358595529358133
SDY1737,local,MIAA,0.03173379364736667,0.03173379364736667,0.11358595529358133
SDY1737,local,ICA,0.010423964019287232,0.03173379364736667,0.11358595529358133
SDY1737,local,ZNT8,0.023564054112095573,0.03173379364736667,0.11358595529358133
SDY1737,federated,GAD65,0.09853150657533599,0.03080170193013678,0.07050749133397974
SDY1737,federated,IA2IC,0.20951395985336585,0.03080170193013678,0.07050749133397974
SDY1737,federated,MIAA,0.03080170193013678,0.03080170193013678,0.07050749133397974
SDY1737,federated,ICA,0.02139784957790436,0.03080170193013678,0.07050749133397974
SDY1737,federated,ZNT8,0.028024015241356247,0.03080170193013678,0.07050749133397974
SDY1737,retrained,GAD65,0.09001138476052974,0.07091418002644273,0.04322856740692055
SDY1737,retrained,IA2IC,0.13417824743538012,0.07091418002644273,0.04322856740692055
SDY1737,retrained,MIAA,0.04678281735360919,0.07091418002644273,0.04322856740692055
SDY1737,retrained,ICA,0.03427811876894232,0.07091418002644273,0.04322856740692055
SDY1737,retrained,ZNT8,0.07091418002644273,0.07091418002644273,0.04322856740692055
